"","X786O","A498","A549","ACHN","BT549","CAKI1","CCRFCEM","COLO205","DU145","EKVX","HCC2998","HCT116","HCT15","HL60","HOP62","HOP92","HS578T","HT29","IGROV1","K562","KM12","LOXIMVI","M14","MALME3M","MCF7","MDAMB231","MDAMB435","MDAMB468","MOLT4","NCIADRES","NCIH226","NCIH23","NCIH322M","NCIH460","NCIH522","OVCAR3","OVCAR4","OVCAR5","OVCAR8","PC3","RPMI8226","RXF393","SF268","SF295","SF539","SKMEL2","SKMEL28","SKMEL5","SKOV3","SN12C","SNB19","SNB75","SR","SW620","T47D","TK10","U031","U251","UACC257","UACC62"
"PPIAL4E","5.758","6.575","5.913","5.763","technical","6.801","5.814","6.815","6.66","6.491","7.071","5.64","6.695","5.739","6.478","6.52","6.744","6.995","6.475","6.133","6.244","6.284","6.476","6.042","technical","6.278","6.962","6.638","6.847","5.598","technical","5.684","6.602","6.549","6.914","5.706","6.867","6.747","technical","6.953","technical","6.612","7.498","6.738","6.591","6.968","6.825","technical","6.366","7.033","6.352","6.83","5.958","5.889","6.721","7.209","technical","6.708","6.746","6.16"
"RBM47","6.616","7.395","7.393","7.726","6.043","7.082","5.961","8.074","6.747","7.745","7.913","6.497","7.807","6.349","6.906","7.137","6.332","7.868","7.897","5.184","8.018","technical","5.463","5.813","7.734","7.368","5.97","7.295","technical","5.671","6.476","7.333","7.82","7.741","5.36","7.328","7.527","7.644","technical","6.65","7.168","5.579","6.437","7.004","technical","5.656","7.155","7.219","7.543","technical","6.578","5.956","5.703","7.26","7.541","7.793","7.382","6.147","6.659","technical"
"TTC26","5.381","6.226","5.943","6.275","5.725","technical","5.72","5.698","5.517","5.542","technical","6.056","6.228","6.234","6.286","6.303","5.642","5.76","6.25","6.386","5.924","5.914","5.951","6.458","5.833","6.32","5.608","5.894","6.198","5.841","4.832","5.936","4.647","5.641","5.16","5.981","5.77","5.581","6.363","5.391","6.383","5.976","6.398","6.506","6.182","4.959","6.046","technical","5.759","5.994","6.393","6.139","technical","6.249","5.762","6.219","5.691","5.868","6.21","6.477"
"UBA6","7.777","8.117","7.492","7.846","7.627","7.881","7.78","7.795","7.861","7.653","7.192","7.71","7.615","7.481","7.865","7.819","7.721","7.713","7.683","7.911","7.878","7.919","7.458","7.522","7.724","7.937","7.505","7.608","7.843","7.882","7.646","7.689","7.711","7.708","7.541","7.811","7.57","7.637","7.975","7.867","7.452","8.161","7.758","7.767","7.46","7.658","7.615","7.24","7.976","7.702","8.167","7.687","7.794","7.807","7.877","7.761","8.015","7.698","7.189","7.302"
"MED19","6.24","6.604","6.61","6.254","6.789","6.615","6.998","6.825","7.02","6.466","technical","6.909","6.715","6.168","6.823","6.016","6.44","7.004","6.732","6.399","6.423","7.004","6.599","6.894","6.802","6.742","6.556","6.91","7.171","7.114","6.485","6.627","7.093","6.622","7.068","6.369","6.641","6.525","6.909","6.616","6.799","6.218","6.936","7.086","6.821","6.701","6.454","6.579","6.795","7.101","5.818","6.144","6.976","6.919","7.053","6.443","7.004","6.938","6.756","6.604"
"UHRF1BP1L","5.86","6.503","6.266","6.676","5.817","6.066","5.917","4.989","5.986","6.308","5.65","6.184","5.688","5.724","6.258","6.323","6.078","5.661","5.859","6.064","6.528","6.352","6.197","6.123","5.762","6.6","4.577","6.424","5.544","6.328","6.324","6.108","5.898","5.973","6.38","5.892","6.316","6.277","6.222","6.651","5.621","6.058","6.254","6.45","6.671","6.265","6.104","6.353","6.692","6.335","6.153","5.927","6.906","5.875","6.237","5.906","6.235","6.209","4.944","5.894"
"KIAA1598","7.57","7.843","7.911","7.726","6.781","7.981","5.513","7.91","7.905","8.054","7.691","7.99","7.949","7.45","6.531","7.584","6.151","7.665","7.754","7.313","7.582","6.933","7.138","7.365","8.188","7.188","7.934","7.512","6.382","6.733","7.332","7.731","8.289","7.87","7.745","7.544","7.999","7.505","6.973","7.831","7.537","7.789","6.966","6.938","6.684","7.856","7.806","8.086","8.181","7.514","7.756","6.814","6.903","7.836","7.897","7.857","7.409","7.817","7.81","7.306"
"ARHGAP10","5.087","6.037","6.83","6.377","6.709","5.636","6.774","6.641","6.778","6.639","6.55","7.034","6.917","6.577","6.706","6.543","6.176","6.852","6.737","6.574","6.896","6.865","6.581","6.749","6.896","6.85","5.992","6.598","technical","7.302","6.498","6.851","6.824","6.626","6.832","6.789","6.231","6.427","7.169","5.776","6.78","6.411","6.759","6.774","6.69","6.51","6.581","6.44","6.73","6.903","6.728","6.573","6.412","6.689","6.762","6.781","6.786","6.454","6.691","6.661"
"ILVBL","7.164","6.416","6.186","biological","6.519","6.082","5.85","6.476","6.127","6.433","7.101","technical","5.43","7.132","technical","6.677","6.043","5.69","6.767","technical","6.213","6.405","5.664","6.495","5.61","6.685","7.148","5.041","7.279","technical","6.582","5.483","technical","5.857","6.051","5.711","5.808","5.637","6.353","6.724","5.912","biological","technical","5.818","6.45","6.337","6.582","5.594","6.592","5.895","6.492","6.972","6.967","5.351","5.449","6.069","6.153","5.83","7.196","5.497"
"PLEKHG3","6.002","6.215","6.701","5.227","technical","5.932","biological","6.626","5.995","6.548","6.687","6.512","6.238","5.542","5.445","6.22","technical","6.118","6.308","technical","5.533","4.682","5.471","5.204","6.507","5.93","5.715","5.682","biological","5.73","5.884","technical","6.587","6.033","5.743","6.204","6.596","6.642","5.769","6.435","biological","6.334","5.333","5.037","4.881","5.761","5.101","5.646","6.162","5.749","4.133","6.011","5.334","6.204","6.375","6.088","5.985","5.51","6.198","5.484"
