"","X786O","A498","A549","ACHN","BT549","CAKI1","CCRFCEM","COLO205","DU145","EKVX","HCC2998","HCT116","HCT15","HL60","HOP62","HOP92","HS578T","HT29","IGROV1","K562","KM12","LOXIMVI","M14","MALME3M","MCF7","MDAMB231","MDAMB435","MDAMB468","MOLT4","NCIADRES","NCIH226","NCIH23","NCIH322M","NCIH460","NCIH522","OVCAR3","OVCAR4","OVCAR5","OVCAR8","PC3","RPMI8226","RXF393","SF268","SF295","SF539","SKMEL2","SKMEL28","SKMEL5","SKOV3","SN12C","SNB19","SNB75","SR","SW620","T47D","TK10","U031","U251","UACC257","UACC62"
"SLC9B1P1",0.5,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0.5,0.5,0.5,1,0,1,0,1,1,0.5,0.5,1,1,1,1,0,0,0,0,1,1,1,0.5,1,0,0,0.5,1,0,0,1,0,0,1,1,1
"UMAD1",1,0,1,0,0.5,1,0,1,1,1,0.5,1,1,1,0,1,0,0,1,1,0.5,0.5,1,1,1,1,1,1,0,0,1,0,1,0.5,1,0,0,0,1,1,0,0,0,0,0,1,0.5,0,1,1,0.5,1,0.5,1,1,0,0,1,1,0.5
"HSPB6",0,0.5,1,0.5,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0.5,1,0,0,1,0,1,0.5,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0.5,0,1
"SRGAP3",0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0.5,0.5,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0
"PIP5K1C",1,0,0,1,0,1,1,0,1,0.5,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1
"RAB11FIP3",0,1,0,0,0,0.5,0,1,1,1,0.5,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0.5,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0.5,0,1,1,0,1,0.5
"TULP3",0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"ADAP1",0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0.5,0,0,0.5,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0
"CD74",1,0,0,0,0.5,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0.5,1,1,1,1,0.5,0.5,1,1,1,0,0,1,0,1,1,1
"C4A",0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1
