"","protein_1","protein_2","raw_rho_group","raw_rho_nogroup","weighted_rho_group","weighted_rho_nogroup","Pair","IN_PPI","PPI_score","weighted_rho_diff","raw_rho_diff"
"1","KRT20","SULT2B1",-0.404761904761905,0.259055181913945,-0.44625,0.220326432217811,"KRT20 SULT2B1","OUT",NA,-0.666576432217811,-0.66381708667585
"2","KRT20","KRT23",0.0714285714285714,0.222234380129117,0.0675,0.0933384396542291,"KRT20 KRT23","IN",400,-0.0258384396542291,-0.150805808700546
"3","KRT20","GTPBP1",-0.285714285714286,-0.156209292227529,-0.285,-0.15269458315241,"KRT20 GTPBP1","OUT",NA,-0.13230541684759,-0.129504993486756
"4","KRT20","GTPBP10",0.0952380952380952,-0.160808985890459,0.095,-0.12945123364182,"KRT20 GTPBP10","OUT",NA,0.22445123364182,0.256047081128555
"5","KRT20","WIPF3",0.0857142857142857,0.0721739130434783,0.081,-0.026145,"KRT20 WIPF3","OUT",NA,0.107145,0.0135403726708075
"6","KRT20","DDX39A",0.19047619047619,0.0375125546251893,0.19,0.0366685221461225,"KRT20 DDX39A","OUT",NA,0.153331477853878,0.152963635851001
"7","KRT20","KRT9",-0.678571428571428,-0.215252328047848,-0.671785714285714,-0.213584122505477,"KRT20 KRT9","IN",755,-0.458201591780237,-0.46331910052358
"8","KRT20","PLEKHG3",-0.547619047619048,0.248855395042399,-0.54625,0.203812568539724,"KRT20 PLEKHG3","OUT",NA,-0.750062568539724,-0.796474442661446
"9","KRT20","KRT31",0.3,0.156288156288156,0.26775,-0.0295384615384616,"KRT20 KRT31","IN",424,0.297288461538462,0.143711843711844
"10","KRT20","KRT5",-0.285714285714286,-0.0638934287515843,-0.27,-0.0599000894546103,"KRT20 KRT5","OUT",NA,-0.21009991054539,-0.221820856962701
"11","KRT20","KRT75",-0.607142857142857,0.0881942085424872,-0.601071428571428,0.06879148266314,"KRT20 KRT75","OUT",NA,-0.669862911234568,-0.695337065685344
"12","KRT20","AP3B1",-0.452380952380952,-0.0845116292003906,-0.45125,-0.0826101175433818,"KRT20 AP3B1","OUT",NA,-0.368639882456618,-0.367869323180562
"13","KRT20","MYO1G",-0.714285714285714,-0.0447987351917571,-0.707142857142857,-0.0391988932927875,"KRT20 MYO1G","OUT",NA,-0.66794396385007,-0.669486979093957
"14","KRT20","ARVCF",-0.257142857142857,0.16062870190604,-0.240428571428571,0.135731253110604,"KRT20 ARVCF","OUT",NA,-0.376159824539175,-0.417771559048897
"15","KRT20","ILVBL",0.0238095238095238,-0.133395872420263,0.02375,-0.0870408067542214,"KRT20 ILVBL","OUT",NA,0.110790806754221,0.157205396229786
"16","KRT20","AGPS",0.0714285714285714,0.0780503690838037,0.07125,0.0762942357794181,"KRT20 AGPS","OUT",NA,-0.00504423577941814,-0.0066217976552323
"17","KRT20","KRT24",0,-0.0221365748684467,0,-0.0201442831302865,"KRT20 KRT24","IN",562,0.0201442831302865,0.0221365748684467
"18","KRT20","AIP",0.404761904761905,0.206686930091185,0.40375,0.202036474164134,"KRT20 AIP","OUT",NA,0.201713525835866,0.198074974670719
"19","KRT20","NBAS",-0.119047619047619,0.205227019914372,-0.11875,0.200609411966298,"KRT20 NBAS","OUT",NA,-0.319359411966298,-0.324274638961991
"20","KRT20","RBM47",-0.178571428571429,0.370260747004933,-0.1959375,0.324903805496829,"KRT20 RBM47","OUT",NA,-0.520841305496829,-0.548832175576362
"21","KRT20","CLEC3B",-0.0952380952380952,-0.151115453731817,-0.095,-0.147715356022851,"KRT20 CLEC3B","OUT",NA,0.0527153560228515,0.0558773584937221
"22","KRT20","ARHGAP42",-0.428571428571428,0.0530997678436412,-0.405,-0.00724811831065703,"KRT20 ARHGAP42","OUT",NA,-0.397751881689343,-0.48167119641507
"23","KRT20","A2ML1",-0.714285714285714,-0.096191248289914,-0.7875,-0.0878707053128364,"KRT20 A2ML1","OUT",NA,-0.699629294687164,-0.6180944659958
"24","KRT20","VPS37C",-0.4,0.263424947145877,-0.315,0.222594080338266,"KRT20 VPS37C","OUT",NA,-0.537594080338266,-0.663424947145877
"25","KRT20","KRT17",0.214285714285714,0.385375494071146,0.21375,0.350691699604743,"KRT20 KRT17","IN",400,-0.136941699604743,-0.171089779785432
"26","KRT20","SH3PXD2B",0.285714285714286,0.0745766391663048,0.285,0.072898664785063,"KRT20 SH3PXD2B","OUT",NA,0.212101335214937,0.211137646547981
"27","KRT20","ARHGAP32",0.595238095238095,-0.398632145189104,0.59375,-0.38966292192235,"KRT20 ARHGAP32","OUT",NA,0.98341292192235,0.9938702404272
"28","KRT20","KRT2",0.178571428571429,-0.362126245847176,0.176785714285714,-0.308938953488372,"KRT20 KRT2","OUT",NA,0.485724667774086,0.540697674418605
"29","KRT20","UBA6",0.785714285714286,-0.021168041684759,0.78375,-0.0206917607468519,"KRT20 UBA6","OUT",NA,0.804441760746852,0.806882327399045
"30","KRT20","CNOT1",-0.155691414048724,0.169299245757736,-0.155302185513602,0.165490012728187,"KRT20 CNOT1","OUT",NA,-0.320792198241789,-0.32499065980646
