"","protein_1","protein_2","raw_rho_group","raw_rho_nogroup","weighted_rho_group","weighted_rho_nogroup","Pair","IN_PPI","PPI_score","weighted_rho_diff","raw_rho_diff"
"24","KRT9","UMAD1",1,0.189158667419537,0.9,-0.119169960474308,"KRT9 UMAD1","OUT",NA,1.01916996047431,0.810841332580463
"83","RAB19","UMAD1",1,0.305882352941176,0.84,-0.146976470588235,"RAB19 UMAD1","OUT",NA,0.986976470588235,0.694117647058824
"53","ARHGAP42","ZNF732",0.771428571428571,0.305494505494505,0.655714285714286,-0.297857142857143,"ARHGAP42 ZNF732","OUT",NA,0.953571428571429,0.465934065934066
"34","MYO1G","ARHGAP42",0.964285714285714,0.148091603053435,0.91125,-0.0385038167938932,"MYO1G ARHGAP42","OUT",NA,0.949753816793893,0.816194111232279
"61","WDR64","EPM2A",0.828571428571429,0.292991452991453,0.809928571428571,-0.0522257264957265,"WDR64 EPM2A","OUT",NA,0.862154297924298,0.535579975579975
"37","MYO1G","UMAD1",0.8,0.125384615384615,0.8211,-0.0386184615384616,"MYO1G UMAD1","OUT",NA,0.859718461538461,0.674615384615384
"16","WIPF3","ARVCF",0.8,0.117123798979602,0.7854,-0.0494994455437541,"WIPF3 ARVCF","OUT",NA,0.834899445543754,0.682876201020398
"23","WIPF3","PPIAL4E",0.8,0.332580463015246,0.672,-0.160054347826087,"WIPF3 PPIAL4E","OUT",NA,0.832054347826087,0.467419536984754
"45","NBAS","RAB19",0.857142857142857,0.151963511898181,0.81,-0.00759817559490905,"NBAS RAB19","OUT",NA,0.817598175594909,0.705179345244676
"50","ARHGAP42","KRT80",0.9,0.255918984194869,0.792,-0.0182982073699331,"ARHGAP42 KRT80","OUT",NA,0.810298207369933,0.644081015805131
"69","TUBAL3","ZNF732",0.857142857142857,0.223790322580645,0.771428571428571,0,"TUBAL3 ZNF732","OUT",NA,0.771428571428571,0.633352534562212
"21","WIPF3","EPM2A",0.7,0.465428276573787,0.6559875,-0.111819143446853,"WIPF3 EPM2A","OUT",NA,0.767806643446852,0.234571723426212
"44","NBAS","ZNF732",0.821428571428571,0.252822580645161,0.739285714285714,0,"NBAS ZNF732","OUT",NA,0.739285714285714,0.56860599078341
"36","MYO1G","RAB19",0.771428571428571,0.288125153978813,0.721285714285714,0,"MYO1G RAB19","OUT",NA,0.721285714285714,0.483303417449759
"7","SULT2B1","UMAD1",0.7,0.284615384615385,0.7184625,0,"SULT2B1 UMAD1","OUT",NA,0.7184625,0.415384615384615
"12","KRT23","EPM2A",0.571428571428571,0.306086956521739,0.5985,-0.11784347826087,"KRT23 EPM2A","OUT",NA,0.716343478260869,0.265341614906832
"15","GTPBP1","WIPF3",0.771428571428571,0.228034188034188,0.655714285714286,-0.0598589743589744,"GTPBP1 WIPF3","OUT",NA,0.71557326007326,0.543394383394384
"13","KRT23","KRT81",0.942857142857143,0.29302987197724,0.8415,0.134610597439545,"KRT23 KRT81","OUT",NA,0.706889402560455,0.649827270879902
"73","RCCD1","SAC3D1",0.9,0.27741935483871,0.72,0.0167491935483871,"RCCD1 SAC3D1","OUT",NA,0.703250806451613,0.62258064516129
"11","KRT23","WDR64",0.785714285714285,0.205548128342246,0.7425,0.0469420538101604,"KRT23 WDR64","OUT",NA,0.695557946189839,0.580166157372039
"19","WIPF3","SH3PXD2B",0.714285714285714,0.32034188034188,0.607142857142857,-0.0840897435897436,"WIPF3 SH3PXD2B","OUT",NA,0.691232600732601,0.393943833943834
"35","MYO1G","MBLAC1",0.8,0.320240867922991,0.66,-0.019374572509341,"MYO1G MBLAC1","OUT",NA,0.679374572509341,0.479759132077009
"81","TRAPPC13","UMAD1",0.7,0.102905982905983,0.644,-0.0334444444444444,"TRAPPC13 UMAD1","OUT",NA,0.677444444444444,0.597094017094017
"54","A2ML1","MBLAC1",0.7,0.221234402275971,0.6559875,-0.0165925801706979,"A2ML1 MBLAC1","OUT",NA,0.672580080170698,0.478765597724029
"20","WIPF3","WDR64",0.8,0.226086956521739,0.672,0,"WIPF3 WDR64","OUT",NA,0.672,0.573913043478261
"65","EPM2A","MIF4GD",0.678571428571428,0.0791788856304985,0.671785714285714,0.00494868035190615,"EPM2A MIF4GD","OUT",NA,0.666837033933808,0.59939254294093
"43","NBAS","ARHGAP42",0.690476190476191,0.128601625003146,0.655952380952381,-0.00771609750018875,"NBAS ARHGAP42","OUT",NA,0.66366847845257,0.561874565473045
"78","RGPD3","UMAD1",0.6,0.309796550945951,0.552,-0.100683879057434,"RGPD3 UMAD1","OUT",NA,0.652683879057434,0.290203449054049
"55","A2ML1","RAB19",0.6,0.108482402468361,0.561,-0.0298326606787992,"A2ML1 RAB19","OUT",NA,0.590832660678799,0.491517597531639
"30","KRT31","C11orf98",0.7,0.167487684729064,0.56,-0.0288916256157636,"KRT31 C11orf98","OUT",NA,0.588891625615763,0.532512315270936
"76","KIF2A","RAB19",0.607142857142857,0.268165129066386,0.57375,-0.0134082564533193,"KIF2A RAB19","OUT",NA,0.587158256453319,0.338977728076471
"77","RGPD3","RAB19",0.571428571428571,0.311748998664886,0.54,-0.0155874499332443,"RGPD3 RAB19","OUT",NA,0.555587449933244,0.259679572763685
"25","PLEKHG3","UMAD1",0.6,0.292307692307692,0.552,0,"PLEKHG3 UMAD1","OUT",NA,0.552,0.307692307692308
"14","KRT23","KRT80",0.8,0.3213699529489,0.704,0.161970456286246,"KRT23 KRT80","OUT",NA,0.542029543713754,0.4786300470511
"51","ARHGAP42","ZSWIM8",0.547619047619048,0.13740249204901,0.520238095238095,-0.0187554401646898,"ARHGAP42 ZSWIM8","OUT",NA,0.538993535402785,0.410216555570038
"74","MBLAC1","RGPD3",0.6,0.237062621201868,0.504,-0.0260768883322055,"MBLAC1 RGPD3","OUT",NA,0.530076888332205,0.362937378798132
"66","EPM2A","SBNO1",0.535714285714286,0.206782771577178,0.530357142857143,0.0129239232235736,"EPM2A SBNO1","OUT",NA,0.517433219633569,0.328931514137107
"63","WDR64","ZNF316",0.574860605718364,0.130101761680709,0.573423454204068,0.0751337673706095,"WDR64 ZNF316","OUT",NA,0.498289686833459,0.444758844037655
"68","STXBP3","TCAF2",0.7,0.319327731092437,0.56,0.0702521008403361,"STXBP3 TCAF2","OUT",NA,0.489747899159664,0.380672268907563
"8","KRT23","MYO1G",0.5,0.0688259109311741,0.525,0.0357722672064777,"KRT23 MYO1G","OUT",NA,0.489227732793522,0.431174089068826
"10","KRT23","RBM47",0.6,0.37624466571835,0.561,0.141091749644381,"KRT23 RBM47","OUT",NA,0.419908250355619,0.22375533428165
"46","RBM47","VWA8",0.714285714285714,0.418989547038328,0.707142857142857,0.293292682926829,"RBM47 VWA8","OUT",NA,0.413850174216028,0.295296167247387
"38","ILVBL","AGPS",0.833333333333333,0.551948051948052,0.833333333333333,0.430519480519481,"ILVBL AGPS","OUT",NA,0.402813852813853,0.281385281385281
"57","KRT2","C11orf98",0.714285714285714,0.400859790939167,0.7125,0.31267063693255,"KRT2 C11orf98","OUT",NA,0.39982936306745,0.313425923346548
"32","KRT75","ESPN",0.619047619047619,0.406072874493927,0.6175,0.243643724696356,"KRT75 ESPN","OUT",NA,0.373856275303644,0.212974744553692
"26","PLEKHG3","MAP1LC3B",-0.55,-0.353500828296565,-0.55,-0.27573064607132,"PLEKHG3 MAP1LC3B","OUT",NA,-0.27426935392868,-0.196499171703435
"39","ILVBL","KRT24",-0.516666666666667,-0.350220472504775,-0.516666666666667,-0.228518858309365,"ILVBL KRT24","OUT",NA,-0.288147808357301,-0.166446194161892
"42","ILVBL","FBLL1",-0.55,-0.223734856956061,-0.55,-0.166123131289875,"ILVBL FBLL1","OUT",NA,-0.383876868710125,-0.326265143043939
"41","ILVBL","C11orf98",-0.65,-0.320813581560682,-0.65,-0.238204084308807,"ILVBL C11orf98","OUT",NA,-0.411795915691193,-0.329186418439318
"9","KRT23","ARVCF",-0.6,-0.218349928876245,-0.5355,-0.0786059743954481,"KRT23 ARVCF","OUT",NA,-0.456894025604552,-0.381650071123755
"5","SULT2B1","EPM2A",-0.464285714285714,-0.237547892720306,-0.5094375,0,"SULT2B1 EPM2A","OUT",NA,-0.5094375,-0.226737821565408
