"","protein_1","protein_2","raw_rho","weighted_rho","raw_p","Pair","IN_PPI","PPI_score","weighted_raw_change"
"1","KRT20","SULT2B1",0.233613445378151,0.215858823529412,0.102497892181836,"KRT20 SULT2B1","OUT",NA,-0.0177546218487395
"2","KRT20","KRT23",0.138866930171278,0.0433959156785244,0.361749324083952,"KRT20 KRT23","IN",400,-0.0954710144927536
"3","KRT20","GTPBP1",-0.220915926179084,-0.212079289131921,0.101777858682075,"KRT20 GTPBP1","OUT",NA,-0.00883663704716334
"4","KRT20","GTPBP10",-0.105348035580902,-0.0821714677531039,0.452803113191309,"KRT20 GTPBP10","OUT",NA,-0.0231765678277985
"5","KRT20","WIPF3",0.0206896551724138,-0.0104689655172414,0.913953013212492,"KRT20 WIPF3","OUT",NA,-0.0102206896551724
"6","KRT20","DDX39A",0.109343223655993,0.104969494709754,0.422434888647054,"KRT20 DDX39A","OUT",NA,-0.00437372894623973
"7","KRT20","KRT9",-0.223097113774623,-0.203799213433118,0.115570708135269,"KRT20 KRT9","IN",755,-0.0192979003415049
"8","KRT20","PLEKHG3",0.222862493761567,0.173749171698861,0.119790259665696,"KRT20 PLEKHG3","OUT",NA,-0.0491133220627052
"9","KRT20","KRT31",0.250733137829912,-0.0992903225806452,0.165841433228352,"KRT20 KRT31","IN",424,-0.151442815249267
"10","KRT20","KRT5",-0.028060555975625,-0.0237111697994031,0.841909235717233,"KRT20 KRT5","OUT",NA,-0.00434938617622187
"11","KRT20","KRT75",0.0386563903206337,0.0270594732244436,0.789832636696874,"KRT20 KRT75","OUT",NA,-0.0115969170961901
"12","KRT20","AP3B1",-0.150449434449947,-0.144431457071949,0.268388434225696,"KRT20 AP3B1","OUT",NA,-0.00601797737799786
"13","KRT20","MYO1G",-0.181562040116964,-0.147065252494741,0.197685829124452,"KRT20 MYO1G","OUT",NA,-0.0344967876222231
"14","KRT20","ARVCF",0.214810547021661,0.150367382915163,0.134114727617179,"KRT20 ARVCF","OUT",NA,-0.0644431641064983
"15","KRT20","ILVBL",-0.108828398552847,-0.0652970391317083,0.461547209638085,"KRT20 ILVBL","OUT",NA,-0.0435313594211389
"16","KRT20","AGPS",0.0738209159261791,0.0708680792891319,0.587758454704896,"KRT20 AGPS","OUT",NA,-0.00295283663704717
"17","KRT20","KRT24",0.0400362867378683,0.0351318416124795,0.775925673988611,"KRT20 KRT24","IN",562,-0.00490444512538887
"18","KRT20","AIP",0.236990960203441,0.227511321795304,0.0786409483725897,"KRT20 AIP","OUT",NA,-0.00947963840813765
"19","KRT20","NBAS",0.08978280559762,0.0861914933737152,0.510505827465538,"KRT20 NBAS","OUT",NA,-0.0035913122239048
