"","protein_1","protein_2","raw_rho","weighted_rho","raw_p","Pair","IN_PPI","PPI_score","weighted_raw_change"
"10","ZC3H12D","UMAD1",-0.356643356643357,0.810605769230769,0.256012537309024,"ZC3H12D UMAD1","OUT",NA,0.453962412587413
"9","ZC3H12D","RAB19",-0.648351648351648,1,0.0195813925695771,"ZC3H12D RAB19","OUT",NA,0.351648351648352
"2","WIPF3","ZNF732",-0.608771929824562,0.767965789473684,0.00670683100079089,"WIPF3 ZNF732","OUT",NA,0.159193859649123
"3","KRT31","SAC3D1",-0.382456140350877,0.522052631578947,0.106930554810918,"KRT31 SAC3D1","OUT",NA,0.13959649122807
"1","GTPBP10","VWA8",0.526116319026369,0.564259752155781,5.20878429365573e-05,"GTPBP10 VWA8","OUT",NA,0.0381434331294118
"6","EPM2A","UMAD1",-0.635064935064935,0.649671428571429,0.00248994530582026,"EPM2A UMAD1","OUT",NA,0.0146064935064937
"7","PDLIM1","MYO1C",0.645525109060463,0.631000794106603,5.91218463002536e-08,"PDLIM1 MYO1C","IN",540,-0.0145243149538604
"4","RBM47","KRT80",0.622566902419478,0.564979463945676,1.78581546620678e-06,"RBM47 KRT80","OUT",NA,-0.0575874384738015
"5","RBM47","KRT8",0.663274251953497,0.603579569277682,1.28421374976755e-07,"RBM47 KRT8","OUT",NA,-0.0596946826758148
"8","KRT80","KRT8",0.724978329818518,0.612606688696648,8.3257676945528e-10,"KRT80 KRT8","IN",400,-0.11237164112187
