"","Breast","CNS","Colon","Leukemia","Melanoma","Non-Small Cell Lung","Ovarian","Renal"
"PPIAL4E",0.333333333333333,0,0,0.166666666666667,0.111111111111111,0.111111111111111,0.142857142857143,0.125
"PIGBOS1",1,1,1,0.833333333333333,1,0.888888888888889,1,1
"IGKV1-12",1,1,1,1,0.888888888888889,1,1,0.875
"TRBC2",0.833333333333333,0.833333333333333,1,0.5,0.777777777777778,0.777777777777778,0.857142857142857,1
"RBM47",0,0.166666666666667,0,0.166666666666667,0.222222222222222,0,0.142857142857143,0.125
"TTC26",0,0,0.142857142857143,0.166666666666667,0.111111111111111,0,0,0.125
"UBA6",0,0,0,0,0,0,0,0
"ESYT2",0.833333333333333,1,0.857142857142857,0.833333333333333,0.888888888888889,0.777777777777778,1,0.875
"MED19",0,0,0.142857142857143,0,0,0,0,0
"UHRF1BP1L",0,0,0,0,0,0,0,0
"KIAA1598",0,0,0,0,0,0,0,0
"TMEM223",1,1,1,1,0.888888888888889,1,1,0.875
"ARHGAP10",0,0,0,0.166666666666667,0,0,0,0
"CCDC64B",0.666666666666667,0.833333333333333,0.285714285714286,0.5,0.888888888888889,0.666666666666667,0.142857142857143,0.625
"ARHGEF37",0.833333333333333,1,0.857142857142857,1,1,1,1,0.625
"MEX3A",0.5,0.666666666666667,0.571428571428571,0.833333333333333,0.777777777777778,0.777777777777778,0.428571428571429,0.875
"ILVBL",0,0.166666666666667,0.142857142857143,0.166666666666667,0,0.222222222222222,0.142857142857143,0.25
"C1orf226",0.5,0.833333333333333,0.714285714285714,0.833333333333333,0.555555555555556,0.555555555555556,0.428571428571429,0.25
"C17orf89",1,1,0.857142857142857,1,1,1,1,0.875
"PLEKHG3",0.333333333333333,0,0,0.666666666666667,0,0.111111111111111,0,0
"SH3PXD2B",0,0,0,0,0,0,0,0
"FAM92A1",0.5,0.166666666666667,0.428571428571429,0.5,0.333333333333333,0.333333333333333,0.571428571428571,0.5
"MACROD2",0.666666666666667,1,0.714285714285714,1,0.666666666666667,0.888888888888889,0.714285714285714,1
"ZC3H12D",0.833333333333333,0,0.285714285714286,0.166666666666667,0.555555555555556,0.222222222222222,0.714285714285714,0.75
"PIPSL",1,1,1,1,1,1,1,0.875
"NBAS",0,0,0,0,0,0,0,0
"TARSL2",0.666666666666667,0.333333333333333,0.285714285714286,0,0.444444444444444,0.111111111111111,0.285714285714286,0.25
"C17orf104",0.333333333333333,0.833333333333333,0.571428571428571,1,0,0.222222222222222,0.285714285714286,0.25
"TYW5",0.166666666666667,0,0,0,0,0.111111111111111,0.142857142857143,0
"DENND3",0.666666666666667,0.833333333333333,0.571428571428571,0.333333333333333,0.555555555555556,0.333333333333333,0.142857142857143,0.25
"CCDC162P",0.166666666666667,0,0.142857142857143,0.333333333333333,0.222222222222222,0,0,0
"FUOM",1,1,1,0.5,1,1,0.714285714285714,1
"VWA8",0.166666666666667,0.333333333333333,0,0,0,0.222222222222222,0.142857142857143,0
"SBNO1",0,0,0,0,0,0,0,0
"ISPD",0.666666666666667,0,0.571428571428571,0.5,0.444444444444444,0.111111111111111,0.285714285714286,0.375
"FAM221A",0.333333333333333,0.5,0.285714285714286,0.666666666666667,0.888888888888889,0.666666666666667,0.285714285714286,0.5
"GTPBP10",0.166666666666667,0.333333333333333,0,0,0,0,0,0
"WDR91",0.166666666666667,0,0,0,0,0.111111111111111,0,0
"KLRG2",0.666666666666667,1,0.857142857142857,0.833333333333333,1,0.777777777777778,0.714285714285714,1
"RAB19",0.166666666666667,1,0.142857142857143,0.666666666666667,0.222222222222222,0.444444444444444,0.428571428571429,0.125
"LCHN",0.5,0.833333333333333,0.857142857142857,0.666666666666667,0.888888888888889,0.777777777777778,0.857142857142857,0.875
"MBLAC1",0.333333333333333,0.333333333333333,0.857142857142857,0.166666666666667,0.444444444444444,0.333333333333333,0.428571428571429,0.5
"VPS37C",0,0,0.142857142857143,0.166666666666667,0.444444444444444,0,0.142857142857143,0.125
"CCDC151",0.333333333333333,0.833333333333333,0.714285714285714,0.5,0.111111111111111,0.555555555555556,0.571428571428571,0.375
"KRBA1",1,1,1,0.833333333333333,1,1,1,1
"ANKRD34B",1,1,1,1,0.777777777777778,1,0.857142857142857,1
"TMEM189",1,0.5,0.714285714285714,0.833333333333333,0.666666666666667,0.888888888888889,0.857142857142857,0.875
"TRAPPC13",0,0,0,0,0,0,0,0
"CNOT1",0,0,0,0,0,0,0,0
"ARHGEF35",0.5,1,0,1,0.777777777777778,0.777777777777778,0.428571428571429,0.25
"CCDC88B",0.333333333333333,0.833333333333333,0.714285714285714,0.333333333333333,0.222222222222222,0.888888888888889,0.714285714285714,0.5
"MAP1LC3B",0,0,0,0,0,0,0,0
"FAM83G",0,0.333333333333333,0,0.166666666666667,0.444444444444444,0,0,0.5
"RBMY1B",1,0.833333333333333,1,0.833333333333333,0.888888888888889,0.777777777777778,1,1
"PGP",0,0,0,0,0,0,0,0
"C5orf51",0,0,0,0,0,0,0,0
"RCCD1",0,0.333333333333333,0,0,0,0,0,0
"ZNF316",0,0,0,0.333333333333333,0,0,0.142857142857143,0.125
"TCAF2",0,0.166666666666667,0.714285714285714,0.166666666666667,0.444444444444444,0.444444444444444,0.428571428571429,0.25
"SDHAF1",0.5,0.666666666666667,0.857142857142857,0.833333333333333,0.666666666666667,0.444444444444444,0.714285714285714,0.75
"WIPF3",0.333333333333333,0.166666666666667,0.571428571428571,0.666666666666667,0.333333333333333,0.777777777777778,0.428571428571429,0.5
"CAPN8",1,1,0.857142857142857,1,1,0.888888888888889,1,1
"TUBAL3",0,0,0,0,0,0,0,0
"FBLL1",0,0,0,0,0,0,0,0.125
"SMCHD1",0,0,0,0,0,0,0,0
"GATSL2",0,0.166666666666667,0.285714285714286,0,0,0,0,0.125
"ARHGAP42",0.5,0.166666666666667,0.571428571428571,0.5,0.111111111111111,0.666666666666667,0.428571428571429,0.125
"NCF1",0.833333333333333,1,0.714285714285714,0.333333333333333,0.888888888888889,0.444444444444444,0.571428571428571,0.75
"UNC119B",0,0,0,0,0,0,0,0
"METTL15",0.166666666666667,0.166666666666667,0,0,0,0,0,0
"SOWAHD",0.666666666666667,1,0.714285714285714,0.833333333333333,1,0.888888888888889,0.857142857142857,0.375
"CD8B",1,1,0.857142857142857,0.833333333333333,1,0.888888888888889,1,0.875
"SLC9B1P1",0.333333333333333,0.333333333333333,0.571428571428571,0.5,0.444444444444444,0.444444444444444,0.142857142857143,1
"CCDC85C",0,0,0,0,0,0,0,0
"SAC3D1",0.5,0.333333333333333,0.428571428571429,0.166666666666667,0.444444444444444,0.777777777777778,0.285714285714286,0.125
"PCP4L1",0.666666666666667,0.5,0.857142857142857,0.833333333333333,0.444444444444444,0.888888888888889,0.857142857142857,0.625
"CGB1",1,0.666666666666667,1,1,0.777777777777778,1,0.857142857142857,0.875
"RGPD3",0,0,0,0,0,0,0,0
"SMIM23",0.5,0.666666666666667,0.142857142857143,0.333333333333333,0.666666666666667,0.444444444444444,0.285714285714286,0.5
"ZNF729",0.833333333333333,0.833333333333333,0.857142857142857,1,1,0.888888888888889,0.714285714285714,0.875
"ZNF716",0.666666666666667,0.5,1,0.833333333333333,1,0.777777777777778,0.714285714285714,0.75
"BTBD11",0.5,0.833333333333333,0.428571428571429,0.5,0.333333333333333,0.666666666666667,0.857142857142857,0.25
"FAM127A",0,0,0.428571428571429,0.5,0,0,0,0
"ZSWIM8",0,0,0.142857142857143,0.166666666666667,0,0,0.142857142857143,0
"MYH7B",0,0.166666666666667,0,0,0.111111111111111,0.111111111111111,0.142857142857143,0.125
"ARHGAP32",0,0,0,0,0,0,0,0
"TBKBP1",1,1,1,1,0.888888888888889,1,1,1
"POM121C",0.666666666666667,0.666666666666667,0.714285714285714,0.166666666666667,0.777777777777778,0.666666666666667,0.571428571428571,0.75
"A2ML1",0.166666666666667,0.166666666666667,0,0,0.111111111111111,0.111111111111111,0.142857142857143,0.375
"DDX11L8",1,1,0.857142857142857,0.833333333333333,1,0.888888888888889,1,1
"YDJC",0.5,1,0.714285714285714,0.666666666666667,0.888888888888889,0.777777777777778,0.571428571428571,0.5
"ZNF891",0.833333333333333,0.666666666666667,0.857142857142857,0.833333333333333,1,0.777777777777778,0.857142857142857,1
"GT3",1,1,1,1,1,1,0.857142857142857,0.875
"HMSD",0.833333333333333,1,1,1,0.777777777777778,0.888888888888889,0.857142857142857,1
"PHF20L1",0.333333333333333,0.833333333333333,0.571428571428571,0.5,0.444444444444444,0.666666666666667,0.428571428571429,0.375
"SNRPG",0,0,0,0,0,0,0,0
"NUDT19",0,0,0,0.166666666666667,0,0,0.142857142857143,0
"CXorf49",0.166666666666667,0.666666666666667,0.428571428571429,1,0.555555555555556,0.444444444444444,0.428571428571429,0.625
"GOLGA6L6",0.5,0.166666666666667,1,1,0.333333333333333,0.666666666666667,0.428571428571429,0.5
"MIF4GD",0,0,0,0,0,0,0,0
"MYO1G",0,0,0,0,0.111111111111111,0.111111111111111,0,0.125
