"","Breast","CNS","Colon","Leukemia","Melanoma","Non-Small Cell Lung","Ovarian","Renal","no_Breast","no_CNS","no_Colon","no_Leukemia","no_Melanoma","no_Non-Small Cell Lung","no_Ovarian","no_Renal"
"PPIAL4E",0.333333333333333,0,0,0.166666666666667,0.111111111111111,0.111111111111111,0.142857142857143,0.125,0.0925925925925926,0.12962962962963,0.132075471698113,0.111111111111111,0.117647058823529,0.117647058823529,0.113207547169811,0.115384615384615
"PIGBOS1",1,1,1,0.833333333333333,1,0.888888888888889,1,1,0.944444444444444,0.944444444444444,0.943396226415094,0.962962962962963,0.941176470588235,0.96078431372549,0.943396226415094,0.942307692307692
"IGKV1-12",1,1,1,1,0.888888888888889,1,1,0.875,0.962962962962963,0.962962962962963,0.962264150943396,0.962962962962963,0.980392156862745,0.96078431372549,0.962264150943396,0.980769230769231
"TRBC2",0.833333333333333,0.833333333333333,1,0.5,0.777777777777778,0.777777777777778,0.857142857142857,1,0.814814814814815,0.814814814814815,0.792452830188679,0.851851851851852,0.823529411764706,0.823529411764706,0.811320754716981,0.788461538461538
"RBM47",0,0.166666666666667,0,0.166666666666667,0.222222222222222,0,0.142857142857143,0.125,0.111111111111111,0.0925925925925926,0.113207547169811,0.0925925925925926,0.0784313725490196,0.117647058823529,0.0943396226415094,0.0961538461538462
"TTC26",0,0,0.142857142857143,0.166666666666667,0.111111111111111,0,0,0.125,0.0740740740740741,0.0740740740740741,0.0566037735849057,0.0555555555555556,0.0588235294117647,0.0784313725490196,0.0754716981132075,0.0576923076923077
"UBA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESYT2",0.833333333333333,1,0.857142857142857,0.833333333333333,0.888888888888889,0.777777777777778,1,0.875,0.888888888888889,0.87037037037037,0.886792452830189,0.888888888888889,0.882352941176471,0.901960784313726,0.867924528301887,0.884615384615385
"MED19",0,0,0.142857142857143,0,0,0,0,0,0.0185185185185185,0.0185185185185185,0,0.0185185185185185,0.0196078431372549,0.0196078431372549,0.0188679245283019,0.0192307692307692
"UHRF1BP1L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIAA1598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM223",1,1,1,1,0.888888888888889,1,1,0.875,0.962962962962963,0.962962962962963,0.962264150943396,0.962962962962963,0.980392156862745,0.96078431372549,0.962264150943396,0.980769230769231
"ARHGAP10",0,0,0,0.166666666666667,0,0,0,0,0.0185185185185185,0.0185185185185185,0.0188679245283019,0,0.0196078431372549,0.0196078431372549,0.0188679245283019,0.0192307692307692
"CCDC64B",0.666666666666667,0.833333333333333,0.285714285714286,0.5,0.888888888888889,0.666666666666667,0.142857142857143,0.625,0.574074074074074,0.555555555555556,0.622641509433962,0.592592592592593,0.529411764705882,0.568627450980392,0.641509433962264,0.576923076923077
"ARHGEF37",0.833333333333333,1,0.857142857142857,1,1,1,1,0.625,0.925925925925926,0.907407407407407,0.924528301886792,0.907407407407407,0.901960784313726,0.901960784313726,0.905660377358491,0.961538461538462
"MEX3A",0.5,0.666666666666667,0.571428571428571,0.833333333333333,0.777777777777778,0.777777777777778,0.428571428571429,0.875,0.703703703703704,0.685185185185185,0.69811320754717,0.666666666666667,0.666666666666667,0.666666666666667,0.716981132075472,0.653846153846154
"ILVBL",0,0.166666666666667,0.142857142857143,0.166666666666667,0,0.222222222222222,0.142857142857143,0.25,0.148148148148148,0.12962962962963,0.132075471698113,0.12962962962963,0.156862745098039,0.117647058823529,0.132075471698113,0.115384615384615
"C1orf226",0.5,0.833333333333333,0.714285714285714,0.833333333333333,0.555555555555556,0.555555555555556,0.428571428571429,0.25,0.574074074074074,0.537037037037037,0.547169811320755,0.537037037037037,0.568627450980392,0.568627450980392,0.584905660377358,0.615384615384615
"C17orf89",1,1,0.857142857142857,1,1,1,1,0.875,0.962962962962963,0.962962962962963,0.981132075471698,0.962962962962963,0.96078431372549,0.96078431372549,0.962264150943396,0.980769230769231
"PLEKHG3",0.333333333333333,0,0,0.666666666666667,0,0.111111111111111,0,0,0.0925925925925926,0.12962962962963,0.132075471698113,0.0555555555555556,0.137254901960784,0.117647058823529,0.132075471698113,0.134615384615385
"SH3PXD2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM92A1",0.5,0.166666666666667,0.428571428571429,0.5,0.333333333333333,0.333333333333333,0.571428571428571,0.5,0.407407407407407,0.444444444444444,0.415094339622642,0.407407407407407,0.431372549019608,0.431372549019608,0.39622641509434,0.403846153846154
"MACROD2",0.666666666666667,1,0.714285714285714,1,0.666666666666667,0.888888888888889,0.714285714285714,1,0.814814814814815,0.777777777777778,0.811320754716981,0.777777777777778,0.823529411764706,0.784313725490196,0.811320754716981,0.769230769230769
"ZC3H12D",0.833333333333333,0,0.285714285714286,0.166666666666667,0.555555555555556,0.222222222222222,0.714285714285714,0.75,0.425925925925926,0.518518518518518,0.490566037735849,0.5,0.450980392156863,0.509803921568627,0.433962264150943,0.423076923076923
"PIPSL",1,1,1,1,1,1,1,0.875,0.981481481481482,0.981481481481482,0.981132075471698,0.981481481481482,0.980392156862745,0.980392156862745,0.981132075471698,1
"NBAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARSL2",0.666666666666667,0.333333333333333,0.285714285714286,0,0.444444444444444,0.111111111111111,0.285714285714286,0.25,0.240740740740741,0.277777777777778,0.283018867924528,0.314814814814815,0.254901960784314,0.313725490196078,0.283018867924528,0.288461538461538
"C17orf104",0.333333333333333,0.833333333333333,0.571428571428571,1,0,0.222222222222222,0.285714285714286,0.25,0.407407407407407,0.351851851851852,0.377358490566038,0.333333333333333,0.470588235294118,0.431372549019608,0.415094339622642,0.423076923076923
"TYW5",0.166666666666667,0,0,0,0,0.111111111111111,0.142857142857143,0,0.037037037037037,0.0555555555555556,0.0566037735849057,0.0555555555555556,0.0588235294117647,0.0392156862745098,0.0377358490566038,0.0576923076923077
"DENND3",0.666666666666667,0.833333333333333,0.571428571428571,0.333333333333333,0.555555555555556,0.333333333333333,0.142857142857143,0.25,0.425925925925926,0.407407407407407,0.433962264150943,0.462962962962963,0.431372549019608,0.470588235294118,0.490566037735849,0.480769230769231
"CCDC162P",0.166666666666667,0,0.142857142857143,0.333333333333333,0.222222222222222,0,0,0,0.0925925925925926,0.111111111111111,0.0943396226415094,0.0740740740740741,0.0784313725490196,0.117647058823529,0.113207547169811,0.115384615384615
"FUOM",1,1,1,0.5,1,1,0.714285714285714,1,0.907407407407407,0.907407407407407,0.905660377358491,0.962962962962963,0.901960784313726,0.901960784313726,0.943396226415094,0.903846153846154
"VWA8",0.166666666666667,0.333333333333333,0,0,0,0.222222222222222,0.142857142857143,0,0.0925925925925926,0.0740740740740741,0.113207547169811,0.111111111111111,0.117647058823529,0.0784313725490196,0.0943396226415094,0.115384615384615
"SBNO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISPD",0.666666666666667,0,0.571428571428571,0.5,0.444444444444444,0.111111111111111,0.285714285714286,0.375,0.333333333333333,0.407407407407407,0.339622641509434,0.351851851851852,0.352941176470588,0.411764705882353,0.377358490566038,0.365384615384615
"FAM221A",0.333333333333333,0.5,0.285714285714286,0.666666666666667,0.888888888888889,0.666666666666667,0.285714285714286,0.5,0.555555555555556,0.537037037037037,0.566037735849057,0.518518518518518,0.470588235294118,0.509803921568627,0.566037735849057,0.538461538461538
"GTPBP10",0.166666666666667,0.333333333333333,0,0,0,0,0,0,0.037037037037037,0.0185185185185185,0.0566037735849057,0.0555555555555556,0.0588235294117647,0.0588235294117647,0.0566037735849057,0.0576923076923077
"WDR91",0.166666666666667,0,0,0,0,0.111111111111111,0,0,0.0185185185185185,0.037037037037037,0.0377358490566038,0.037037037037037,0.0392156862745098,0.0196078431372549,0.0377358490566038,0.0384615384615385
