"","row_NA_count","row_NA_ratio","means_without_na","na_ratio_cat"
"PPIAL4E",7,0.116666666666667,6.48443396226415,-1
"PIGBOS1",57,0.95,6.953,1
"IGKV1-12",58,0.966666666666667,7.874,1
"TRBC2",49,0.816666666666667,6.41881818181818,1
"RBM47",6,0.1,6.90116666666667,-1
"TTC26",4,0.0666666666666667,5.92189285714286,-1
"UBA6",0,0,7.7176,-1
"ESYT2",53,0.883333333333333,5.37685714285714,1
"MED19",1,0.0166666666666667,6.69393220338983,-1
"UHRF1BP1L",0,0,6.0907,-1
"KIAA1598",0,0,7.4968,-1
"TMEM223",58,0.966666666666667,6.4305,1
"ARHGAP10",1,0.0166666666666667,6.61086440677966,-1
"CCDC64B",35,0.583333333333333,5.90964,0
"ARHGEF37",55,0.916666666666667,5.5008,1
"MEX3A",41,0.683333333333333,6.03789473684211,0
"ILVBL",8,0.133333333333333,6.23067307692308,-1
"C1orf226",34,0.566666666666667,6.23319230769231,0
"C17orf89",58,0.966666666666667,5.8665,1
"PLEKHG3",7,0.116666666666667,5.88658490566038,-1
"SH3PXD2B",0,0,6.76263333333333,-1
"FAM92A1",25,0.416666666666667,6.15977142857143,0
"MACROD2",48,0.8,5.69966666666667,0
"ZC3H12D",28,0.466666666666667,5.81878125,0
"PIPSL",59,0.983333333333333,5.612,1
"NBAS",0,0,6.48036666666667,-1
"TARSL2",17,0.283333333333333,5.55739534883721,0
"C17orf104",24,0.4,5.67061111111111,0
"TYW5",3,0.05,6.5650701754386,-1
"DENND3",27,0.45,5.53687878787879,0
"CCDC162P",6,0.1,7.0642037037037,-1
"FUOM",55,0.916666666666667,6.2166,1
"VWA8",6,0.1,5.83662962962963,-1
"SBNO1",0,0,6.6236,-1
"ISPD",22,0.366666666666667,5.99726315789474,0
"FAM221A",32,0.533333333333333,6.03882142857143,0
"GTPBP10",3,0.05,6.33650877192982,-1
"WDR91",2,0.0333333333333333,6.43679310344828,-1
"KLRG2",51,0.85,4.97955555555556,1
"RAB19",23,0.383333333333333,6.20148648648649,0
"LCHN",47,0.783333333333333,5.67415384615385,0
"MBLAC1",26,0.433333333333333,6.15329411764706,0
"VPS37C",8,0.133333333333333,6.52532692307692,-1
"CCDC151",30,0.5,6.11126666666667,0
"KRBA1",59,0.983333333333333,5.361,1
"ANKRD34B",57,0.95,5.44333333333333,1
"TMEM189",48,0.8,5.87716666666667,0
"TRAPPC13",0,0,6.68746666666667,-1
"CNOT1",0,0,7.24893333333333,-1
"ARHGEF35",35,0.583333333333333,6.17396,0
"CCDC88B",35,0.583333333333333,5.24584,0
"MAP1LC3B",0,0,7.65781666666667,-1
"FAM83G",11,0.183333333333333,5.94373469387755,-1
"RBMY1B",55,0.916666666666667,6.1554,1
"PGP",0,0,7.68218333333333,-1
"C5orf51",0,0,7.05708333333333,-1
"RCCD1",2,0.0333333333333333,6.56103448275862,-1
"ZNF316",4,0.0666666666666667,5.71307142857143,-1
"TCAF2",20,0.333333333333333,6.0583,0
"SDHAF1",40,0.666666666666667,6.1835,0
"WIPF3",28,0.466666666666667,5.7969375,0
"CAPN8",58,0.966666666666667,5.7595,1
"TUBAL3",0,0,7.32068333333333,-1
"FBLL1",1,0.0166666666666667,7.46823728813559,-1
"SMCHD1",0,0,7.33506666666667,-1
"GATSL2",5,0.0833333333333333,6.35745454545455,-1
"ARHGAP42",22,0.366666666666667,5.32742105263158,0
"NCF1",42,0.7,5.74422222222222,0
"UNC119B",0,0,7.04108333333333,-1
"METTL15",2,0.0333333333333333,6.20936206896552,-1
"SOWAHD",48,0.8,5.70066666666667,0
"CD8B",56,0.933333333333333,5.9365,1
"SLC9B1P1",29,0.483333333333333,6.42925806451613,0
"CCDC85C",0,0,7.20818333333333,-1
"SAC3D1",23,0.383333333333333,6.36640540540541,0
"PCP4L1",42,0.7,6.45916666666667,0
"CGB1",54,0.9,6.279,1
"RGPD3",0,0,6.0827,-1
"SMIM23",27,0.45,6.50784848484848,0
"ZNF729",53,0.883333333333333,5.239,1
"ZNF716",48,0.8,5.60158333333333,0
"BTBD11",31,0.516666666666667,5.63841379310345,0
"FAM127A",6,0.1,6.91622222222222,-1
"ZSWIM8",3,0.05,5.44640350877193,-1
"MYH7B",5,0.0833333333333333,5.71792727272727,-1
"ARHGAP32",0,0,7.07595,-1
"TBKBP1",59,0.983333333333333,5.656,1
"POM121C",37,0.616666666666667,5.61073913043478,0
"A2ML1",8,0.133333333333333,5.74115384615385,-1
"DDX11L8",57,0.95,5.20533333333333,1
"YDJC",43,0.716666666666667,5.78,0
"ZNF891",52,0.866666666666667,5.807,1
"GT3",58,0.966666666666667,6.636,1
"HMSD",55,0.916666666666667,5.654,1
"PHF20L1",30,0.5,5.25146666666667,0
"SNRPG",0,0,8.5207,-1
"NUDT19",2,0.0333333333333333,6.74189655172414,-1
"CXorf49",32,0.533333333333333,5.90807142857143,0
"GOLGA6L6",35,0.583333333333333,5.666,0
"MIF4GD",0,0,6.75673333333333,-1
"MYO1G",4,0.0666666666666667,6.15664285714286,-1
"ESPN",7,0.116666666666667,6.50766037735849,-1
"WDR64",10,0.166666666666667,6.76262,-1
"LOC93622",55,0.916666666666667,5.9766,1
"RSPH10B",48,0.8,6.49183333333333,0
"HMGB1P1",20,0.333333333333333,6.2877,0
"MYO9A",1,0.0166666666666667,5.46864406779661,-1
"SMIM1",47,0.783333333333333,6.35553846153846,0
"EPM2A",21,0.35,6.20661538461538,0
"FAM25G",55,0.916666666666667,6.3884,1
"ZNF732",22,0.366666666666667,5.70263157894737,0
"GPR89A",47,0.783333333333333,5.939,0
"PPP1R3G",38,0.633333333333333,5.27818181818182,0
"WASH3P",0,0,7.06145,-1
"RASA4",52,0.866666666666667,5.243875,1
"UMAD1",29,0.483333333333333,6.85425806451613,0
"BTBD19",57,0.95,5.75,1
"FAM195B",0,0,7.57118333333333,-1
"HGFAC",48,0.8,5.82858333333333,0
"KRT86",58,0.966666666666667,5.9355,1
"KRT38",40,0.666666666666667,5.77815,0
"KRT75",6,0.1,5.53433333333333,-1
"KRT14",38,0.633333333333333,5.48540909090909,0
"KRT6A",55,0.916666666666667,6.3746,1
"ALB",50,0.833333333333333,6.3488,1
"KRT8",0,0,8.69198333333333,-1
"KRT16",44,0.733333333333333,5.8713125,0
"KRT10",32,0.533333333333333,6.00614285714286,0
"KRT5",3,0.05,6.49635087719298,-1
"FLG",30,0.5,4.84906666666667,0
"KRT9",6,0.1,5.8472962962963,-1
"KRT20",4,0.0666666666666667,6.19544642857143,-1
"KRT2",7,0.116666666666667,6.28656603773585,-1
"KRT85",53,0.883333333333333,5.953,1
"KRT17",3,0.05,6.31991228070175,-1
"KRT33B",43,0.716666666666667,6.09488235294118,0
"KRT81",7,0.116666666666667,6.64847169811321,-1
"KRT31",26,0.433333333333333,5.84070588235294,0
"CLEC3B",0,0,7.0487,-1
"KRT24",3,0.05,7.1149649122807,-1
"KRT7",30,0.5,6.94956666666667,0
"KRT80",7,0.116666666666667,6.63156603773585,-1
"KRT34",9,0.15,6.44788235294118,-1
"KRT222",30,0.5,6.72216666666667,0
"KRT12",56,0.933333333333333,5.48975,1
"KRTAP4-6",56,0.933333333333333,5.64525,1
"KRTAP2-2",52,0.866666666666667,6.106875,1
"KRT23",11,0.183333333333333,6.1479387755102,-1
"CA",0,0,9.04825,-1
"C11orf98",1,0.0166666666666667,7.61957627118644,-1
"SMIM22",47,0.783333333333333,6.75269230769231,0
"DSE2",0,0,7.16456666666667,-1
"AGPS",0,0,7.37458333333333,-1
"KIF2A",0,0,7.32508333333333,-1
"SGK1",42,0.7,6.08688888888889,0
"DDX39A",0,0,8.03081666666667,-1
"PDLIM1",3,0.05,8.23684210526316,-1
"ACOT7",45,0.75,5.8788,0
"MYO1C",0,0,7.6726,-1
"MYO1F",19,0.316666666666667,5.35146341463415,0
"SP23",0,0,7.15578333333333,-1
"HAX1",0,0,6.51543333333333,-1
"AIP",0,0,7.91825,-1
"GTPBP1",0,0,7.08911666666667,-1
"LGALS9",34,0.566666666666667,6.54303846153846,0
"STXBP3",0,0,7.08475,-1
"AP4M1",1,0.0166666666666667,5.89622033898305,-1
"ARVCF",6,0.1,6.34096296296296,-1
"SMAP",0,0,8.11695,-1
"RAB27B",52,0.866666666666667,5.7765,1
"AP3B1",0,0,7.68166666666667,-1
"SULT2B1",8,0.133333333333333,6.29598076923077,-1
"APBB1",19,0.316666666666667,6.11526829268293,0
"LGALS8",12,0.2,6.15791666666667,0
"NDUFS8",0,0,6.97115,-1
"TNFRSF10A",44,0.733333333333333,5.4508125,0
"NFKBIE",2,0.0333333333333333,6.40974137931035,-1
"PSMD11",0,0,8.4717,-1
"PSMD12",0,0,8.21108333333333,-1
"PSMD9",0,0,8.11855,-1
"ATOX1",0,0,8.73433333333333,-1
"MEN1",0,0,6.31453333333333,-1
"CBX4",1,0.0166666666666667,6.10184745762712,-1
"PGRMC1",5,0.0833333333333333,6.93243636363636,-1
"SUPT5H",0,0,7.66036666666667,-1
"TAF4",0,0,6.59518333333333,-1
"DFFA",0,0,7.87938333333333,-1
"RFXAP",10,0.166666666666667,6.2517,-1
"HIP1",0,0,6.70753333333333,-1
"CLIC1",0,0,9.13348333333333,-1
"EIF3F",0,0,8.37288333333333,-1
"WWP2",0,0,6.06228333333333,-1
"CDC7",11,0.183333333333333,5.80014285714286,-1
"PIK3CD",8,0.133333333333333,5.63213461538462,-1
"PDHX",0,0,6.88328333333333,-1
"MATN2",8,0.133333333333333,5.96534615384615,-1
"FOXE1",38,0.633333333333333,6.82163636363636,0
"QSOX1",26,0.433333333333333,5.66720588235294,0
"DCTN6",0,0,7.4421,-1
"SLC33A1",19,0.316666666666667,7.05926829268293,0
"WASL",1,0.0166666666666667,7.04254237288136,-1
"IPO5",0,0,8.18618333333333,-1
"POLRMT",11,0.183333333333333,5.57757142857143,-1
"EEF2K",1,0.0166666666666667,6.75379661016949,-1
"SAP18",0,0,8.02055,-1
"EML1",8,0.133333333333333,6.22134615384615,-1
"IGF2BP3",0,0,7.926,-1
"DNM1L",0,0,7.94101666666667,-1
"RTCA",0,0,7.42788333333333,-1
"PIK3C2A",0,0,6.65855,-1
"LST1",59,0.983333333333333,6.95,1
"IFRD1",5,0.0833333333333333,6.19709090909091,-1
"PIK3R2",0,0,6.37888333333333,-1
"GOLIM4",2,0.0333333333333333,6.6646724137931,-1
"MANBA",14,0.233333333333333,5.73473913043478,0
"TRAF5",24,0.4,5.5125,0
"AGRN",4,0.0666666666666667,6.569875,-1
"PLOD2",4,0.0666666666666667,7.16530357142857,-1
"MEIS1",19,0.316666666666667,5.96690243902439,0
"EXOC5",0,0,6.98586666666667,-1
"ELL2",17,0.283333333333333,5.3176511627907,0
"HMGN4",1,0.0166666666666667,7.124,-1
"NDUFA4",3,0.05,7.21684210526316,-1
"PSMD14",0,0,8.17951666666667,-1
"ZNF593",0,0,7.25771666666667,-1
"BIN1",1,0.0166666666666667,7.17876271186441,-1
"KP3",0,0,7.83433333333333,-1
"STK25",0,0,6.63085,-1
"USP9Y",5,0.0833333333333333,5.52156363636364,-1
"BCL9",1,0.0166666666666667,5.89183050847458,-1
"LAD1",12,0.2,6.74764583333333,0
"KRIT1",10,0.166666666666667,5.88386,-1
"CHL1",38,0.633333333333333,5.54113636363636,0
"VWA5A",7,0.116666666666667,6.40860377358491,-1
"PES1",0,0,7.75885,-1
"CAC1A",9,0.15,5.92929411764706,-1
"EBAG9",51,0.85,6.36388888888889,1
"SDCBP",0,0,7.83111666666667,-1
"PITPNM1",0,0,6.11933333333333,-1
"MPHOSPH10",0,0,7.50995,-1
"NOP56",0,0,8.01665,-1
"DDX3X",0,0,8.48611666666667,-1
"RSET2",1,0.0166666666666667,7.23018644067797,-1
"PODXL",13,0.216666666666667,6.27655319148936,0
"CYR61",2,0.0333333333333333,7.24729310344828,-1
"PIR",0,0,7.62105,-1
"PEX7",13,0.216666666666667,6.61176595744681,0
"KP4",0,0,8.03706666666667,-1
"TRIM38",7,0.116666666666667,6.50333962264151,-1
"NFIB",5,0.0833333333333333,6.70925454545455,-1
"E2F3",6,0.1,6.11935185185185,-1
"PPP6C",0,0,7.7877,-1
"NME4",38,0.633333333333333,6.57045454545455,0
"CES2",24,0.4,6.20702777777778,0
"PIK3C2B",20,0.333333333333333,5.3432,0
"MAN2B1",0,0,6.71391666666667,-1
"WNT7A",47,0.783333333333333,5.83830769230769,0
"FBP2",47,0.783333333333333,5.83584615384615,0
"UBE2C",2,0.0333333333333333,7.63320689655172,-1
"ACACB",21,0.35,5.35107692307692,0
"PDXK",0,0,8.00785,-1
"SCD",38,0.633333333333333,6.28195454545455,0
"DLGAP1",57,0.95,6.04833333333333,1
"PPAP2A",45,0.75,6.03373333333333,0
"PPAP2B",33,0.55,5.75207407407407,0
"ARID1A",0,0,7.0648,-1
"BHLHE40",36,0.6,5.45475,0
"CDK2AP1",12,0.2,7.4329375,0
"C2CD2L",26,0.433333333333333,5.33808823529412,0
"FCHO1",10,0.166666666666667,5.73502,-1
"CUX2",59,0.983333333333333,5.641,1
"TXNDC9",0,0,7.76665,-1
"DPYSL4",5,0.0833333333333333,6.50569090909091,-1
"SOCS3",56,0.933333333333333,5.85,1
"SOCS6",45,0.75,5.85646666666667,0
"TRAFD1",0,0,6.97496666666667,-1
"COX7A2L",30,0.5,6.66663333333333,0
"GAPDHS",19,0.316666666666667,6.23280487804878,0
"HSPB6",29,0.483333333333333,7.03767741935484,0
"NDUFAB1",0,0,7.78701666666667,-1
"UBFD1",0,0,7.54896666666667,-1
"DYNC1I1",7,0.116666666666667,6.55564150943396,-1
"CIT",55,0.916666666666667,4.6812,1
"COPE",0,0,8.18076666666667,-1
"RFXANK",20,0.333333333333333,6.03345,0
"EIF1AY",40,0.666666666666667,7.23655,0
"GNGT2",53,0.883333333333333,6.83971428571429,1
"CDC42EP2",33,0.55,6.60225925925926,0
"AP3D1",0,0,7.66366666666667,-1
"CCS",0,0,7.72065,-1
"ZNF195",5,0.0833333333333333,5.84572727272727,-1
"ABLIM1",1,0.0166666666666667,6.62293220338983,-1
"DVL1",2,0.0333333333333333,6.13720689655172,-1
"DVL2",0,0,6.9735,-1
"DLI1",59,0.983333333333333,6.756,1
"CHD1",0,0,6.74673333333333,-1
"CHD2",1,0.0166666666666667,5.82159322033898,-1
"GOSR2",6,0.1,6.34742592592593,-1
"TOR1A",0,0,7.0299,-1
"TOR1B",0,0,6.84613333333333,-1
"STX16",5,0.0833333333333333,6.29356363636364,-1
"ADAM10",4,0.0666666666666667,5.79823214285714,-1
"ENC1",15,0.25,5.97026666666667,0
"PTGES",51,0.85,6.38844444444444,1
"KMT2D",0,0,5.47195,-1
"ITGB1BP1",31,0.516666666666667,6.19975862068966,0
"TRDMT1",28,0.466666666666667,5.58571875,0
"APAF1",1,0.0166666666666667,6.179,-1
"RIOK3",2,0.0333333333333333,6.34122413793103,-1
"IMPA2",9,0.15,6.65794117647059,-1
"MAP2K7",0,0,6.4503,-1
"ACOT8",10,0.166666666666667,6.43522,-1
"CDIPT",39,0.65,5.79795238095238,0
"PDCD5",0,0,8.44195,-1
"PRMT5",0,0,7.98325,-1
"SLC9A3R1",0,0,8.02705,-1
"CHEK1",1,0.0166666666666667,6.78537288135593,-1
"TNFRSF10B",41,0.683333333333333,5.96736842105263,0
"MEIS2",50,0.833333333333333,5.6476,1
"FPGT",1,0.0166666666666667,6.09862711864407,-1
"TPP1",1,0.0166666666666667,7.29284745762712,-1
"GNB5",51,0.85,5.78922222222222,1
"TCERG1",0,0,7.9406,-1
"NDC80",0,0,7.12735,-1
"KIF3C",3,0.05,5.65159649122807,-1
"NRP1",6,0.1,5.82385185185185,-1
"TNPO2",51,0.85,5.52322222222222,1
"APOL1",45,0.75,6.0992,0
"UNC13B",2,0.0333333333333333,5.33644827586207,-1
"POLR3A",0,0,6.4233,-1
"CPLX1",34,0.566666666666667,6.57538461538462,0
"TSPAN4",42,0.7,6.68833333333333,0
"PSMA7",0,0,8.7205,-1
"RASGRF2",56,0.933333333333333,5.433,1
"SCAMP3",0,0,7.80356666666667,-1
"PHYH",19,0.316666666666667,6.12568292682927,0
"OPLAH",3,0.05,6.29224561403509,-1
"BACH1",3,0.05,5.80035087719298,-1
"BCKDK",5,0.0833333333333333,6.19374545454545,-1
"IFIT3",4,0.0666666666666667,6.70728571428571,-1
"MGST3",32,0.533333333333333,6.27717857142857,0
"GEMIN2",0,0,6.97891666666667,-1
"IRF6",37,0.616666666666667,6.1275652173913,0
"TAX1BP3",1,0.0166666666666667,7.95805084745763,-1
"GIPC1",0,0,7.87376666666667,-1
"LIN7A",18,0.3,6.42516666666667,0
"IKBKB",0,0,6.58111666666667,-1
"RGS12",41,0.683333333333333,5.36763157894737,0
"TIMM23",45,0.75,6.1518,0
"HAT1",0,0,7.95546666666667,-1
"UBE2L6",2,0.0333333333333333,7.30960344827586,-1
"CASK",0,0,6.81133333333333,-1
"PLD2",41,0.683333333333333,5.54947368421053,0
"UQCRQ",12,0.2,6.53716666666667,0
"MYL12A",0,0,9.10221666666667,-1
"UQCR11",41,0.683333333333333,6.90378947368421,0
"HGS",0,0,7.93665,-1
"AURKA",1,0.0166666666666667,6.80028813559322,-1
"DSCR3",2,0.0333333333333333,6.69462068965517,-1
"PPP1R12A",0,0,7.68038333333333,-1
"SLC27A2",25,0.416666666666667,5.94777142857143,0
"GAK",0,0,6.97723333333333,-1
"HNRNPDL",0,0,8.32025,-1
"XPO1",0,0,8.19048333333333,-1
"BTAF1",0,0,6.50453333333333,-1
"ATP2A1",59,0.983333333333333,5.258,1
"PIP5K1B",58,0.966666666666667,5.504,1
"ARHGEF10",2,0.0333333333333333,6.64837931034483,-1
"ZNF609",0,0,6.25665,-1
"SPTBN2",0,0,6.04623333333333,-1
"MAST4",25,0.416666666666667,5.16097142857143,0
"SEC16A",59,0.983333333333333,5.563,1
"PLXNB2",1,0.0166666666666667,6.39254237288136,-1
"RIMBP2",57,0.95,5.499,1
"KHNYN",3,0.05,5.84712280701754,-1
"TECPR2",13,0.216666666666667,5.56865957446808,0
"SEMA3E",48,0.8,5.42941666666667,0
"U2SURP",0,0,7.82423333333333,-1
"SETD1A",0,0,6.21306666666667,-1
"N4BP3",34,0.566666666666667,5.85215384615385,0
"PER2",4,0.0666666666666667,5.89246428571429,-1
"SYNJ2",4,0.0666666666666667,6.04826785714286,-1
"SYNM",2,0.0333333333333333,6.54275862068966,-1
"KIAA0355",11,0.183333333333333,6.18467346938776,-1
"KIF3B",0,0,6.64565,-1
"PFAS",0,0,7.83433333333333,-1
"CAD",51,0.85,5.90144444444444,1
"DCLK1",14,0.233333333333333,6.22558695652174,0
"CEP290",5,0.0833333333333333,5.56158181818182,-1
"ERC2",22,0.366666666666667,5.68755263157895,0
"ANKRD28",3,0.05,5.57335087719298,-1
"ARHGEF11",59,0.983333333333333,5.03,1
"KIAA0391",0,0,6.32783333333333,-1
"CHUK",1,0.0166666666666667,6.7774406779661,-1
"LSM1",0,0,7.73195,-1
"FYB",20,0.333333333333333,6.48505,0
"NPC1",14,0.233333333333333,5.92039130434783,0
"TBX3",23,0.383333333333333,5.8657027027027,0
"DEGS1",59,0.983333333333333,6.552,1
"SCAMP1",0,0,7.07018333333333,-1
"SCAMP2",1,0.0166666666666667,7.01016949152542,-1
"KP5",52,0.866666666666667,5.328125,1
"ARPC1B",0,0,8.36653333333333,-1
"ARPC2",0,0,8.5311,-1
"ARPC3",0,0,8.52398333333333,-1
"MDM4",22,0.366666666666667,5.77189473684211,0
"BET1",25,0.416666666666667,6.95211428571429,0
"ZBTB7B",14,0.233333333333333,5.93745652173913,0
"POLR1C",0,0,7.76158333333333,-1
"PLSCR1",38,0.633333333333333,6.21363636363636,0
"TRIM24",0,0,6.6384,-1
"LDLRAD4",57,0.95,6.499,1
"AXIN1",5,0.0833333333333333,6.19061818181818,-1
"PGRMC2",3,0.05,6.73182456140351,-1
"T",55,0.916666666666667,6.2298,1
"CETN3",1,0.0166666666666667,6.8584406779661,-1
"VILL",15,0.25,5.65426666666667,0
"EPHB6",52,0.866666666666667,5.43175,1
"RGL2",0,0,5.93383333333333,-1
"PFDN6",0,0,8.5416,-1
"WDR46",0,0,6.9544,-1
"NKRF",0,0,7.11321666666667,-1
"GNPAT",9,0.15,6.14825490196078,-1
"KMO",58,0.966666666666667,5.5975,1
"LAMA5",2,0.0333333333333333,5.95120689655172,-1
"ZNF185",4,0.0666666666666667,6.77851785714286,-1
"CASC3",0,0,6.95428333333333,-1
"MRPS12",5,0.0833333333333333,6.61125454545455,-1
"VGF",18,0.3,5.88333333333333,0
"LEPROT",53,0.883333333333333,6.363,1
"CLIC2",26,0.433333333333333,6.06623529411765,0
"ACOX3",0,0,6.54761666666667,-1
"RER1",0,0,7.3367,-1
"SURF4",0,0,7.35281666666667,-1
"MAPK13",8,0.133333333333333,6.71290384615385,-1
"ATXN7",27,0.45,4.99366666666667,0
"SPTLC1",0,0,6.44265,-1
"SPTLC2",0,0,6.50143333333333,-1
"FANCG",31,0.516666666666667,5.4041724137931,0
"OGT",0,0,7.4267,-1
"PPM1D",44,0.733333333333333,5.6165,0
"SIVA1",13,0.216666666666667,6.35157446808511,0
"PMM2",0,0,7.79195,-1
"POLR3G",20,0.333333333333333,6.621025,0
"TM9SF1",16,0.266666666666667,5.841,0
"INPP4B",3,0.05,6.23677192982456,-1
"MID1",2,0.0333333333333333,6.93624137931034,-1
"HMGB3",0,0,8.31581666666667,-1
"TP73",42,0.7,5.556,0
"PPM1G",0,0,8.2335,-1
"INPPL1",0,0,6.82718333333333,-1
"FANCA",40,0.666666666666667,4.9187,0
"EIF3D",0,0,8.10795,-1
"EIF3H",0,0,8.35211666666667,-1
